"sku","name","selling_price","original_price","discount","availability","color","category","breadcrumbs","average_rating","reviews_count"
"GQ1082","Solid Swim Shorts",20,25,5,"InStock","Blue","Clothing","Men/Clothing",4.6,70
"GP8632","The Trackstand Cycling Pants",60,75,15,"InStock","Black","Clothing","Men/Clothing",4.7,38
"H04508","4D Fusio Shoes",180,200,20,"InStock","White","Shoes","Originals/Shoes",4.2,562
"GZ7884","4D Fusio Shoes",180,200,20,"InStock","Black","Shoes","Men/Shoes",4.2,562
"H33690","adidas Sportswear Wrapped 3-Stripes Full-Zip Hoodie",33,65,32,"InStock","Pink","Clothing","Women/Clothing",4.7,133
"H34614","Adicolor Classics Crop Hoodie",52,65,13,"InStock","Red","Clothing","Women/Clothing",4.7,249
"H34691","Club Tennis 3-Stripes Tee",32,40,8,"InStock","Blue","Clothing","Men/Clothing",4.8,39
"GP2389","Five Ten Heritage Logo Tee",28,35,7,"InStock","Yellow","Clothing","Men/Clothing",5,8
"GL5681","adidas Sportswear Woven 3-Stripes Track Top",42,70,28,"InStock","Orange","Clothing","Men/Clothing",4.9,72
"GM4601","Five Ten Felsblock Shorts",48,60,12,"InStock","Black","Clothing","Men/Clothing",4.8,4
"H22840","Adicolor Classics Trefoil Tee (Plus Size)",24,30,6,"InStock","Green","Clothing","Women/Clothing",4.5,44
"H39842","adidas Z.N.E. Sportswear Hoodie",80,100,20,"InStock","Green","Clothing","Men/Clothing",4.8,60
"GM4772","Terrex Liteflex Hiking Pants",64,80,16,"InStock","Green","Clothing","Men/Clothing",4.7,99
"G58804","adidas FortaRun x LEGO® DOTS™ Shoes",40,50,10,"InStock","White","Shoes","Kids/Shoes",4.8,52
"GR0678","FC Bayern Tee",20,25,5,"InStock","Red","Clothing","Kids/Clothing",4.4,5
"GI7303","Terrex Multi Primegreen Full-Zip Fleece Jacket",49,70,21,"InStock","Blue","Clothing","Men/Clothing",4.8,32
"GR4080","adidas Sportswear Comfy and Chill Tee",24,30,6,"InStock","White","Clothing","Men/Clothing",4.8,58
"GT1694","Utilitas Hooded Parka",128,160,32,"InStock","Pink","Clothing","Women/Clothing",5,4
"H29178","Aeromotion Tee",24,30,6,"InStock","Green","Clothing","Men/Clothing",4.6,45
"GT9739","Adizero 1/2 Zip Long Sleeve Tee",68,85,17,"InStock","Black","Clothing","Women/Clothing",4.7,3
"GT1692","Utilitas Hooded Parka",128,160,32,"InStock","Green","Clothing","Women/Clothing",5,4
"GT9780","adidas Z.N.E. Sportswear Hoodie",80,100,20,"InStock","Black","Clothing","Men/Clothing",4.8,60
"GZ7927","Hoops 2.0 Mid Shoes",46,65,19,"InStock","White","Shoes","Men/Shoes",4.5,231
"HB1419","adidas Sportswear Future Icons 3-Stripes Sweatshirt",44,55,11,"InStock","Black","Clothing","Men/Clothing",4.7,54
"FZ2489","Adizero RC 3 Shoes",80,100,20,"InStock","Blue","Shoes","Men/Shoes",4.3,13
"GR4259","Real Madrid Tee",20,25,5,"InStock","Blue","Clothing","Kids/Clothing",4.3,3
"H21531","adidas Sportswear Comfy and Chill Tee",24,30,6,"InStock","Grey","Clothing","Men/Clothing",4.8,58
"FY4084","Adizero RC 3 Tokyo Shoes",80,100,20,"InStock","White","Shoes","Men/Shoes",4.3,13
